date,gamePk,home_team,away_team,home_score,away_score,home_ops,home_era,home_whip,away_ops,away_era,away_whip,run_diff_home,run_diff_away,result_home,result_away,home_record,away_record
2025-03-12,779107,Detroit Tigers,Tampa Bay Rays,5,1,0.634,1.0,0.778,0.487,5.625,1.375,4,-4,1,0,0-5,0-5
2025-03-12,779068,St. Louis Cardinals,New York Mets,0,2,0.232,2.0,0.778,0.494,0.0,0.444,-2,2,0,1,0-6,0-6
2025-03-12,778728,Washington Nationals,Houston Astros,9,3,0.93,0.0,1.222,0.587,7.875,2.375,6,-6,1,0,0-5,0-5
2025-03-12,779138,Athletics,Arizona Diamondbacks,2,5,0.519,4.0,1.111,0.679,1.0,0.778,-3,3,0,1,0-6,0-6
2025-03-13,778820,Cincinnati Reds,Athletics,1,12,0.431,12.0,2.444,1.063,1.0,1.0,-11,11,0,1,0-5,0-6
2025-03-13,778925,Kansas City Royals,San Diego Padres,6,5,0.833,5.0,1.556,0.836,5.192,1.269,1,-1,1,0,0-6,0-5
2025-03-13,778789,Colorado Rockies,Cleveland Guardians,6,4,0.985,4.0,1.333,0.724,6.75,1.875,2,-2,1,0,0-5,0-6
2025-03-13,778985,San Francisco Giants,Texas Rangers,3,7,0.515,7.0,1.333,0.764,3.0,0.889,-4,4,0,1,0-5,0-5
2025-03-13,778848,Chicago White Sox,Milwaukee Brewers,3,9,0.833,10.125,1.75,1.005,3.522,1.826,-6,6,0,1,0-4,0-6
2025-03-13,779069,Miami Marlins,Houston Astros,5,10,0.766,8.0,1.667,0.815,4.0,1.667,-5,5,0,1,0-5,0-6
2025-03-13,778904,Philadelphia Phillies,Atlanta Braves,16,9,1.326,9.0,1.667,0.729,18.0,3.0,7,-7,1,0,0-5,0-4
2025-03-13,778951,Toronto Blue Jays,Baltimore Orioles,6,4,0.832,3.0,0.889,0.59,6.75,1.625,2,-2,1,0,0-5,0-6
2025-03-13,779105,Detroit Tigers,New York Yankees,6,8,0.779,7.0,1.778,0.913,6.0,1.556,-2,2,0,1,0-6,0-5
2025-03-13,778875,Minnesota Twins,Pittsburgh Pirates,15,3,1.017,1.0,0.889,0.634,13.5,2.75,12,-12,1,0,0-5,0-5
2025-03-13,778967,Tampa Bay Rays,Washington Nationals,14,4,1.126,4.0,1.0,0.651,15.75,3.125,10,-10,1,0,0-5,0-6
2025-03-13,778729,Houston Astros,St. Louis Cardinals,1,1,0.369,1.0,0.778,0.473,1.0,0.667,0,0,0,0,0-5,0-5
2025-03-13,778889,New York Mets,Boston Red Sox,2,3,0.445,1.0,1.222,0.633,2.0,1.0,-1,1,0,1,0-4,0-4
2025-03-14,779004,San Diego Padres,Texas Rangers,9,8,1.045,8.0,1.667,0.729,10.125,2.5,1,-1,1,0,0-6,0-6
2025-03-14,778924,Texas Rangers,Colorado Rockies,5,0,0.74,0.0,1.222,0.554,5.625,1.5,5,-5,1,0,0-6,0-6
